zipcode,bldgno1,street1,stsufx1,bldno2,street2,stsufx2,city,county,status1,status2,status3,block,lot,boro
11201,436,ALBEE,SQ,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,421-A (1-15),NA,146,48,3
11201,131,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,291,45,3
11201,141,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,291,40,3
11201,145,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,291,38,3
11201,147,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,291,37,3
11201,153,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING B,ROOMING HOUSE,NA,291,34,3
11201,155,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,291,33,3
11201,174,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,297,15,3
11201,176,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,297,16,3
11201,177,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,NA,292,49,3
11201,181,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,292,47,3
11201,184,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,297,19,3
11201,186,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,297,19,3
11201,188,AMITY,ST,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,297,19,3
11201,122,ASHLAND,PL,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,NA,2061,40,3
11201,85,ATLANTIC,AVE,NA,NA,NA,BROOKLYN,61,MULTIPLE DWELLING A,NA,NA,274,16,3
